OBJECTID,MDENAME,MDEADDR,GRADERANGE,CLASS,MAGNET,WEB_URL,Lat,Lng
327,Congdon Elementary,"3116 E Superior St, Duluth, MN 55812-1104",KG-5,10,NO,http://www.isd709.org/congdon-elementary,46.81652558,-92.0579266
397,Ordean East Middle School,"2900 E 4th St, Duluth, MN 55812",44355,20,NO,http://www.isd709.org/ordean-east,46.81759407,-92.06475563
432,Denfeld High School,"401 N 44th Ave W, Duluth, MN 55807-1494",44451,32,NO,http://www.isd709.org/denfeld,46.74849227,-92.15968088
482,Lester Park Elementary,"5300 Glenwood Ave, Duluth, MN 55804-1699",KG-5,10,NO,http://www.isd709.org/lester-park-elementary,46.83983549,-92.01794359
613,Myers-Wilkins Elementary,"1027 N 8th Ave E, Duluth, MN 55805-1426",EC-5,10,NO,http://www.isd709.org/myerswilkins-elementary,46.80156412,-92.10037655
1339,Lincoln Park Middle School,"3215 W 3rd St, Duluth, MN 55806",44355,20,NO,http://www.isd709.org/lincoln-park,46.7582714,-92.14168383
2285,Stowe Elementary,"715 101st Ave W, Duluth, MN 55808-1914",EC-5,10,NO,http://www.isd709.org/stowe-elementary,46.66441304,-92.22883939
2713,Piedmont Elementary,"2827 Chambersburg Ave, Duluth, MN 55811-3004",EC-5,10,NO,http://www.isd709.org/piedmont-elementary,46.78317849,-92.15912215
3170,Lakewood Elementary,"5207 N Tischer Rd, Duluth, MN 55804-3010",KG-5,10,NO,http://www.isd709.org/lakewood-elementary,46.8885089,-92.00731445
3171,Homecroft Elementary,"4784 Howard Gnesen Rd, Duluth, MN 55803-1226",PK-5,10,NO,http://www.isd709.org/homecroft-elementary,46.85730366,-92.11062716
3238,Laura MacArthur Elementary,"720 N Central Ave, Duluth, MN 55807-1398",EC-5,10,NO,http://www.isd709.org/laura-macarthur,46.743682,-92.16579535
4022,Lowell Elementary,"2000 Rice Lake Rd, Duluth, MN 55811-4822",KG-5,10,NO,http://www.isd709.org/lowell-elementary,46.8139162,-92.12191692
4027,East High School,"301 N 40th Ave E, Duluth, MN 55804",44451,32,NO,http://www.isd709.org/duluth-east,46.82481521,-92.04344924
